created_at,author_id,text,category
2025-06-13 14:32:26+00:00,51047889,"#GH  Willow Lands in Shadybrook – Psych Evaluation Leads to Mental Health Treatment? 

https://t.co/aH6fYPykan",Health
2025-06-13 14:32:26+00:00,1932458808892432384,💞💋Doggy style or 69😋 I Want the Truth 💕send me a message💞💋💞💋🥀💋 https://t.co/s8TznHkb0m,Fashion
2025-06-13 14:32:26+00:00,1272598112989859840,@SagaFraga @lion_politics Trump also said it indirectly,Politics
2025-06-13 14:32:26+00:00,1756404900806656000,@nighdruth Yes pls we need a video of Druth with clothes start growing and ripping all of them and after he burst out of the building to start stomping the city,Fashion
2025-06-13 14:32:26+00:00,2545630868,"Death is the New Black. Dominic Piper.

""Sinister goings-on in the world of fashion. An exciting and unusual detective thriller. Totally recommend!"" - Annie Howe.

https://t.co/Xr8ygKCiHA

#MustRead #DanielBeckett #PrivateInvestigator #Dark #Addictive #Standalone #Thriller https://t.co/BGOD4oBmI9",Fashion
2025-06-13 14:32:26+00:00,1368740410584104961,@w_terrence Good for them-we all hate that horrible government (including Iranian people) but America cannot join in the fight ….,Politics
2025-06-13 14:32:26+00:00,1849096073866027008,"Its economic model is designed for long-term health ♻️: founded on ""Proof of Work,"" cycling value through a ""burn-mint"" mechanism, and guiding growth with ""scarcity-based incentives."" @pipenetwork is a complete and sustainable ecosystem design by .",Health
2025-06-13 14:32:26+00:00,1725900292909047808,"@CAgovernor Nope

This is blowback from our government failing to enforce reasonable immigration policies. 

A nation without borders is not a nation. 

Ingres and egress must be controlled. 

Knowing who is here and why is an absolute must. 

All of this is a reflection of your failure.",Politics
2025-06-13 14:32:25+00:00,885671476627521536,@katieporteroc He interrupted official proceedings and then ignored instructions from law enforcement. Are you seriously calling for special treatment of government officials that wouldn’t be extended to everyday people?,Politics
2025-06-13 14:32:25+00:00,1769834020387352576,"GRNMA Strike: We are not demanding immediate implementation of everything – Diana Nyarko, Midwife, Shai-Osudoku District Hospital",Health
2025-06-13 14:32:25+00:00,1925848443265646593,"@TheEXECUTlONER_ They were following protocol. When an unidentified person lunges at a government official and then resists arrest, it is absolutely appropriate.
It was all for theatre anyway!",Politics
2025-06-13 14:32:25+00:00,768597308447428608,@SpotemGang #SPOTEMGANG i love the artist style and I love hack and Slash games too much.,Fashion
2025-06-13 14:32:24+00:00,1485112316001918979,"For every student in the family, the government has extended a hand of support—this is how we shape the future. ~  !! #HappyMothersInAP #TDPSM #TallikiVandanam #PromiseDelivered #192",Politics
2025-06-13 14:32:24+00:00,1694464965636210688,"America dodged a bullet, thank God Trump won the election.

This guy is a complete idiot, Kamala is a drunken idiot.

Democratic Party's best and brightest 😂 https://t.co/AkW0EhzfZb",Politics
2025-06-13 14:32:24+00:00,1816888449749659649,"@JDVance Setting aside motives or politics...

I've never seen such candid, transparent dialogue from any president ever. 

I, for one, am grateful for Trump's leadership and service.

MAGA
🇺🇲",Politics
2025-06-13 14:32:24+00:00,1586713128498257921,@ABC7Chicago The asshole was screaming at Noem before the secret service grabbed him. He continued to push forward towards her. He is luck he was not hurt for being so stupid. It was a dumb stunt. He had nothing to identify himself. I watch politics pretty closely and I had no clue who he was,Politics
2025-06-13 14:32:24+00:00,1519713504864968707,"@CramerSez Don’t take the vaccine booster. Your health is also important.

.",Health
2025-06-13 14:32:24+00:00,973000873,"@DrHenryEaly @SecKennedy @RealDrJaneRuby Health movements have been led by people who know health for decades, and here we are.
Health movements need to be led by people who care about health and have no ties to people profitting from it.",Health
2025-06-13 14:32:23+00:00,1753589142770880512,"Israeli aggression is a calculation error and a sign of fear
The Iranian Government spokesman https://t.co/iTjD9asgw8",Politics
2025-06-13 14:32:23+00:00,625760052,"At least 19 tested positive for Covid-19, one hospitalised

Most of the infected persons are India returnees. Some from Kathmandu have also tested positive for the deadly disease, officials say.

https://t.co/ujOMTyWnqr",Health
2025-06-13 14:32:23+00:00,1164053234,"@YKoluwaseun9 If nah, only you get to provide for your family, and you are comfortable with that while everyone runs to you for peanut, it's just a matter of time, you will realise how poor you are. Let's empower  each other so this clueless government won't continue to make us a joke.",Politics
2025-06-13 14:32:23+00:00,1918094172596387840,"SNL is hollywood's american nightmare. Politics has become hollywood. Woke has become norm. Fear and drama are all the rage. Normalized toxicity, etc.. Things are looking dicey..The only thing we can do now is unite in realness and love, and do it the best way we can. #stopthewar",Politics
2025-06-13 14:32:23+00:00,847680494,"@AlanMCole Yeah, if they asked right positions -- taxes should be lower, the government should cut regulations on business,  gun ownership should be protected, it's important to reduce crime, etc. -- they'd get full agreement from the right and split the left.",Politics
2025-06-13 14:32:23+00:00,1489862481401028614,"@ItsMeHaileyG Happy Friday the 13th, Hailey!  Doctor visit then driving to the shore for quality wife time lol

Have a great weekend. Love ya! 💜",Health
2025-06-13 14:32:23+00:00,1867670328195108864,"@Arakunrin_emma I eschew anything that will trigger my mental health. I only allow what I want to see and listen to. No relative, not a girl can pressure me into thinking I'm not doing good enough.",Health
2025-06-13 14:32:23+00:00,1454853594646134789,"i mean indians do full suppot saar thing but indian government's stance has always been ""two state solution"" . international governments don't act on the basis of feelings https://t.co/gNXZCjcyUZ",Politics
2025-06-13 14:32:23+00:00,1933385487252926469,"🔥 The BIGGЕST #Сryрtо #РUMР Telegram channel is here! 

 🚀 Jоin the actiоn! ➡️ https://t.co/GzONZTOLmJ $ETH 

@LegitSounds1 @AMuhammad10715 @uberipuzo @Elfowa1 @Fud_doctor @NFTAngelhero @CursedClownsnft @ASHBELJACOB @Andrew2pm @Purplea06746907 0KDGon",Health
2025-06-13 14:32:22+00:00,1741525102066307072,"@ShannonJoyRadio No, they were given a different vaccine 
All planned",Health
2025-06-13 14:32:22+00:00,1207549912805720065,"#Dicount Offer Get #LADodgers Vintage Logo Jacket.
Shop From https://t.co/thooSRmIEw
-------
#ootd #style #gift #fashion #DodgersLogo #Replica #patchwork #print #embroidery #Jacket #Winter #summer #clothing #partywear #Menswear #womensfashion #varsity #Jersey #baseballjersey #MLB https://t.co/8eeWeQ03BW",Fashion
2025-06-13 14:32:22+00:00,1195225940848037888,"@NOELreports the government spent 2 trillion of us tax payer money to develop the f35. us citizens get nothing but a crumbling country while we focus our efforts on ""defending"" israeli genocide",Politics
2025-06-13 14:32:22+00:00,1804050021924618240,"One is given by the government and the other is given by the company.
You know which is which. https://t.co/csZUjh4UTW",Politics
2025-06-13 14:32:22+00:00,28504202,"Exquisite! Captivating! Elevate your style with The Shannon Double Pocket Leggings, available for a limited time at the incredible price of $49.95
https://t.co/e3fSHQC5Kc https://t.co/urHIfDT0bl",Fashion
2025-06-13 14:32:22+00:00,1389964558459080704,"@howardlutnick - The Trump’s Government is completely correct by imposing tariffs! Why is there the GDP measured in Purchasing Power Parity ? To compare GDP of two or countries in a very much precision way . 
The Purchasing Power Parity equalise the purchasing power of different currencies, by",Politics
2025-06-13 14:32:22+00:00,2255214175,@MdBreathe @Walgreens So pharmacists now practice medicine and run a gossip hotline to the state medical board? This isn't about patient safety; it's about enforcing ideological conformity on behalf of Big Pharma. The medical-industrial complex punishes any doctor who dares to think for themselves.,Health
2025-06-13 14:32:22+00:00,1742216744347824128,"@BasedPota18 Its more ""modern toriyama atr style""",Fashion
2025-06-13 14:32:22+00:00,1285074930376364033,Chat I just got a game that puts me in charge of a hospital! You trust me with your lives right? https://t.co/zOfjEj6HWx,Health
2025-06-13 14:32:22+00:00,112741698,"@MikeJarmuz Get ready for the future of money! With the Trump government's interest in cryptocurrency, now's the time to learn about Bitcoin. Join @fxasofia cryptoprofxtrd channel  for insights and updates on the world of crypto.",Politics
2025-06-13 14:32:22+00:00,1521648067765800960,"@indyfor45th47th Yes. 
All it does, when specific demographics get their own months, days, holidays, etc...is create division.
The enemy of the people is the corrupt government and their media lap-dog...and the people who control all that.",Politics
2025-06-13 14:32:22+00:00,230624509,"@BionicZebra_FTT @RebelACole @ABC They are given SSN's labeled ""for work only"" while they are trying to become legal permanent residents. Undocumented doesn't mean unknown, it means they haven't completed the process. The government gives them to them so they can work and pay taxes.",Politics
2025-06-13 14:32:22+00:00,4038058757,@ikulumawasliano No Reform NO Election,Politics
